情感类别,主导情感文本数,主导情感占比,多标签命中文本数,判定说明,代表文本1,代表文本2,代表文本3,代表文本4,代表文本5
悲伤/思念,2427,0.2826,4914,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,【愧疚】很抱歉写了这么多，但我真的需要发泄一下，对不起打扰你们了，写这个的时候bot还没开投稿，整个人浑浑噩噩的，有些地方可能失了语序，对不起我不知道我第一次面对死亡是在什么时候了。最早的时候是在连幼儿园都还没上的年纪里，学着菜市场卖肉的阿姨说着话，在玩游戏时无意间闷死的粉色小鸡，粉红的毛发待在透着红色的塑料袋里，眼睛闭着，躺在那一堆垃圾里，从此以后我就再也...,.她出生于一个音乐之家，姐妹几个都很有天赋，漂亮且有气质。尤其是她，虽然个子不高但是有一副好嗓子，在当地唱花鼓戏的小有名气。或许正是因为这样，她后来的丈夫一眼就喜欢上她，她就这样嫁到了隔壁省份，在这里的剧场继续唱戏。丈夫干瘦、老实，不善言辞，但在事业上非常努力，她喜欢这样上进的人。她和那个年代的女孩一样对爱情有着纯粹的向往和美好的想象，顺理成章地怀孕，满心欢...,一直都是你在保护着我。记忆中虽然破烂的楼，你家的墙却被漆成淡淡的粉绿色。那些零件我居 然还记得，我的小自行车，我的本子，玻璃下压着的都是我的照片，绿墙上挂满了我幼儿园画的 画。这是你的家，为什么没有你的痕迹，只有爷爷的遗像在你的房间里。你信佛，总是会记得给他 上香。你很会针线活，给我打了好多好多毛衣。当时爸妈都太忙了，印象里总是你带着我走，路过 那些小卖店，...,小羊，你现在应该是开心的吧，对不起。我是个不合格的朋友，在你走后的第8天，我才敢给你写这些，眼泪流干之后，全世界好像只剩我自己，没有你，我的生活好像也没有什么变化，只是我更爱发呆了。 记得我给你分享过一首歌，《不见不离开》，应该也是为了安慰你吧，未来是逃向一大片的花海，我希望你已经到了那个地方，可我们能不能不见不离开呢？我还没有见过你，世界上的另一个我。我们...,我很恨你，也很爱你，恨你对不起我和妈妈，你真的留下了很多烂摊子，让我有些时候真的很恨，恨我早该让妈妈离婚，恨你如此对不起妈妈，可我真的很爱你，因为你确实很爱我这是我无法质疑的。你离开的那么早，早到我接受不了，早到我那天还庆幸自己的成绩重新回升了，老师都说我打了个翻身仗，我满心欢喜等着告诉你和妈妈这个好消息，却再也没有看到你睁开眼睛看看我夸夸我。当你煎熬地在病...
怀念/叙述,1825,0.2125,3864,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,【🍬】昨天傍晚坐在回学校的车上，看着天边的黄昏，我又一次想起了已经不在这个世界的她。那是20年的夏天，我在医院住院，她突然问我是不是在重庆，她爸爸因为工作原因要来cq，她想最后见我一面。在那之前不久，她跟我说，她得了癌症，治不好了。其实我们的交集没有那么深，似乎是因为一个游戏才有了话题开始聊天，到她问我这个问题的那一天，我们也没认识多久。在我的记忆里我给过她...,【】你走之后我梦见过你很多次，我知道不是你来看我，只是我太想你。梦里你总说死是你开的玩笑，我从狂喜到后来即使身在梦中也明白那只是一场有期限的幻境。听说人死后最后消失的是听觉，那是否说明在那之前的哭喊对于你来说只是传达不到的无法理解的声音，或许那样也好，生人的痛不会再打扰你。 和你认识始于17年的冬夜，那时我辍学，失恋，删光了同学也失去了友人，痛苦的山压在我身...,我该怎么形容你呢，是我的初恋吗，我第一个喜欢的人。10月15日上午十点左右 我收到来自朋友的信息 上一条信息还在聊其他开心的事，下一秒就发来一条消息“哦对了，他死了”那一刻我的大脑宕机，以为是朋友在和我开玩笑，可是愚人节不是已经过去很久了吗？我于是追问，连发了几条消息都没有得到回应，我开始急得讲脏话我想知道这是一个玩笑。朋友的回应却使我如坠冰窟。朋友通过曾经...,【天国】我是8595的胖胖稿主。这条稿子是十月下半发的，本来以为不会被清，没想到前几天放出来了。感谢plq和zfq的各位，很多留言我都读了，非常感谢各位的鼓励和安慰。不过我本人没有什么身材焦虑，我不甚在乎外貌，写这些只是想起了我的妈妈写下这段文字的直接原因确实是和同样身材焦虑的朋友聊起身材问题，不知不觉就想起了我的第一条超码裤子，也是当我和她聊起来的时候我才...,小时候你给了我和妹妹一块冰糖，那时候冰糖的甜我记了很久很久。自我记事起，就听爸妈说你被电信诈骗，到处欠人钱。那时爸爸，奶奶和叔叔都对你厌恶又怜惜，经常劝你别再买那些没用的东西，还会因此争吵不断。还记得在你还没搬回老家之前，经常和奶奶开车去接我放学，可能那是你们夫妻俩唯一和谐的时候了吧，又可能因为我还在车里，你们不愿在车里起争执。可当回到家后又吵的不可开交。你...
情绪不明/叙事,1367,0.1592,1367,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,【】,【】,我爱爸爸,【痛感】,看到我的未来了
希望/祝福/释然,1350,0.1572,3390,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,【】记得第一次见面在冰淇淋店，所有人的人都大喊着推搡着，只有你一个人慌乱的比着手语，店员很不耐烦的把你推走，那是我第一次觉得自己个子高有一点用处，本来只看着视频学了几天手语，可能是缘分吧，当时我就敢这么和你比划，你说的一半我都看不懂，我就那么蒙着点了，后来我发现我把你的小料点错了，你还是笑着送我一个包挂，第二次遇见是在饭店门口，你站在队里，听不到叫号，我又很...,你是家里最让我心疼的长辈 个子不高，瘦得离谱，自己吃馒头咸菜吃了一辈子，一块钱掰成十份花 但是我每次去你家做客你都会下楼给我买好多我喜欢的面包吃。小的时候什么也不懂 我只知道你对我很好，表弟和你一起生活也很幸福，看到他在你身边的时候永远是笑着的 为什么突然就病了？你生病的时候我还太小 才不到十岁的我被爸爸妈妈拉着去看了你一次 但是我当时以为你还没有严重到没办...,【】姐姐，完美的姐姐，漂亮的姐姐，优秀的姐姐，温柔的姐姐，永远精神稳定的姐姐，考上名校重本重硕的姐姐，在大城市做金融工作的姐姐，不管我有多崩溃都能帮我走出来的姐姐，不管在哪里都会把生日礼物送到我手上的姐姐，所有人为之骄傲的姐姐，独自一人好像什么困难都能克服的姐姐，总是能调和好家庭矛盾的姐姐。我今年刚上高中，听我的老师们提起过无数次的我的姐姐，说她有多么聪明优...,【】我决定活过我的生日，那是十月的二十六日。我不知道我是否还能于周六下课后再看见我的帖子，但我希望不会再见到。或许如果我能收到一份明年才能拆开的礼物，我应该会再等一等吧？老师送给我们的符，我偏偏抽到了平安喜乐，我看着符发了好久好久的呆。在接下来的几天，我会像往常一样大笑，继续用我的生命温暖我所爱的人们，朋友们。二十七日以后，我的身影会就这样消失，位置就这么空...,帮助了被霸凌的你，我也成了被霸凌的对象。看着你沉默的样子，有时好想问你，你到底在想着什么，到底是怎么看我的呢。 当他们要把你笔袋扔进厕所蹲坑时，我去阻止了他们，结果他们把矛头对准了我。当我离开教室，他们以为我要去找老师告状，便把水倒进我书包时。我好希望当时就在教室的你阻止一下他们，或是帮后来哭得说不清楚话的我向老师解释。就当帮助一下你的同类吧。 可你没有，从...
愤怒/怨恨,326,0.038,2137,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,【】你终于离开了，度过了漫长的近一个世纪，在折磨了我的家人这么多年之后。我哭了好久，也笑了好久。我哭我的家人因为你遭受了这么多苦难，也为你终于放过了我们开心，我为我的家人终于解脱而开心。为什么你这么讨厌，为什么你因为姥姥生了两个女儿折磨她，为什么你大半夜不放过我的姨妈，甚至要在所有人在一起的时候摆出那样傲慢的面孔。我时常想你是是否是一个真正的女人。在姥姥坐月...,祖母 按我们这里的方言是祖祖 是妈妈的妈妈 可是血缘上你不是妈妈的妈妈 妈妈是你捡来的 背回家的女儿 因为她的亲妈不喜欢她 所以你成了她的妈妈 那个时候的人们总是重男轻女 可是你是例外 你对妈妈很好很好 对我更好更好 自我记事以来 你从没有对我说过一句重话 永远都是一个和蔼的 笑着的老太太 那几年妈妈生了病 家里的经济情况也不好了 即使爸妈从没有对我说过什么...,【】昨晚雨好大好大，我还是自己一个人回家，不想让他们来接我，因为这只会让他们又有一个骂我的机会。记得初中有一次大雨，他们来接我了，之后发生矛盾他们骂我白眼狼就提到了这个。还有小时候车撞到汽车了，但是那个汽车的位置停放的不对，所以对方就看我没什么太大问题就直接走了当时整个电动车前面都碎了，但是当时很害怕，等他们来的时候就一个劲的骂我，骂我愣骂我难道就记不得车牌...,朋友说我的人生像小说一样，虽然知道自己文笔很差，但想想还是说点什么吧，就当分享自己的故事。回忆凌乱，爱有序。我是一名初中生。从小一直到现在，都觉得自己是没有爸爸妈妈的孩子。父母离异了，本来该父亲抚养我，但是他将我直接撂给了爷爷奶奶，母亲再婚，又生了儿子，在我小学时才第一次来找我，我只觉得假惺惺又恶心。我和爷爷奶奶一起住，但家里一共五个人。我的堂哥和我的大伯也...,爸，我想最后对你说一点话，然后走向新的明天。我不知道为什么会有这样的18岁。我也不知道我是不是你们口中的白眼狼。我对于你们一家的记忆其实都不算太好，是我四岁的时候，08年，经济危机，奶奶因为你下岗了，因为我妈照常工作不安分在家里带孩子，就大吵一架，甚至提起了菜刀。我不知道这到底算不算一家人，反正我知道我妈气得当天晚上就出去住了，我的童年随着你们离开开始了，然...
感恩/爱意,316,0.0368,1877,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,他们说时间可以抚平很多事情。有些时候我们在忙忙碌碌的生活中缝缝补补，一些窟窿很快就补上了。但又有一辈子也补不上的漏洞。比如死亡。第一次接触死亡，是我的姥姥。是这个世界上和我爸妈妹妹一样我最爱的人。才不到一年，连她的样子快记不清了，只能在相册的犄角旮旯里，寻找为数不多的点点滴滴。娘娘是个很爱美的人。她个子不高，因为爱吃甜食，身子也胖胖的，肚子上有一圈肉，我特别...,【】死掉了在那边还会遇见吗？如果我先死掉就好了，就可以在你不知道的时候偷偷看你。好想你。想到我好像马上变成一具尸体。已经很多年了，但我记得很多。我们是同桌，你说喜欢我。我们学习都挺好的，你还是年级第一，可我们在课上一起偷偷说荒诞的话。你拿纸卷成筒当🎤采访我，我就吹一口气什么也不说，然后两个人在下面偷偷笑。老师因为成绩对你很放松所以根本不管我们，跟你不熟的时候...,小学一二年级的时候表姐在姥姥家养过仓鼠，豚鼠，还有鹦鹉。总是养死，总是又买了新的来养。成对成对地买，成对成对地死。我三四岁的时候她还养过鸭子，成群成群的养，最后都被不小心踩死。我也踩死过两三只，据说其中有一只长得格外大，有椅子那么高，被我从椅子上跳下来的时候给踩死了。他们一直念叨到我小学三四年级，实际上我完全不记得有这回事。他们当趣事讲，我当犯罪陈述听，在我...,痛苦那么多，那么多。我说了我原谅你，我一直在原谅你，我不怪你，我觉得不是你的错，就算是你的错，我也不愿意怪你。因为我爱你，我好爱好爱你。你是一个怎样的人，做了怎样的事，我不在乎我不在乎我爱你我恨你但我爱你。我被摧毁的一生，我错失的机会我应该得到的东西。是你的错吗？可能有一点吧，但是我不会怪你，因为我爱你。在你的泪水滴在我身上那一刻我就知道我恨你但我不会怪你。...,Martini 先生是我的好朋友，他最近的生活不太太平，他不喜欢他的生活，他最近恨透了。他本来不叫martini 的，他是落魄的宝玉，是从小含在嘴里长大的人。他叫Martini 的原因很简单，遇见事情喜欢喝一杯dry martini ，用嘴把爆珠咬炸，安安静静的吐着烟圈。他喜欢蹦迪，他是个好人，他又不愿意做一个完全好人，他喜欢去舞池里发疯，迷蒙的烟雾，暧昧的...
遗憾/未竟,292,0.034,2603,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,人总是会被遗憾困其一生。“病重”“火化”“死亡”，每一个词都太厚重也太单薄，寥寥几字囊括一个人的一生，在片刻间斩断了所有的羁绊，冰冷地尘归尘土归土。说起来很荒谬，即使已经过去了三个月，24岁的我还是无法清晰地理解这六个字的含义。只是在某个瞬间，在窥探别人的幸福时，我才意识到，我没有爷爷了。如果有时光机就好了。回到模糊的我找不回的儿时，是那一条长长的大集，集的...,【】1901年，你出生在四川的一个小县城，后来这片地被划到了重庆，是重庆的一个乡镇，名字很好听，酉阳县龙潭镇。你家里是做桐油生意的，你是家里最小的儿子，父母都宠你，于是你的房间挨着父母最近。你家很大，我都走过了，你父母的房间，兄姐的房间，你的房间；你妈妈给你做你最爱吃的炸元宵的厨房，你和兄弟姊妹读书的书房……书房有一扇小小的窗，我是春天去的，从那往外看，能看...,奶奶，你听得到吗？我好想你，你走了一年多了，我还是没能变成你期望的好好学习的孩子。总会想起那天早上，爸爸哭着打电话说你不行了，我看到你躺在医院抢救床上的样子，嘴唇是紫的，手是冰凉的，好陌生。你在的时候那么鲜活，总是那么积极面对生活，面对什么难事都不会发怵，有你在，这个支离破碎的家总不会散。那之后我总在后悔，为什么没让你跟我和爷爷一起来学校旁边住，为什么没叮嘱...,爷爷的离开特别突然，也许是某种大脑保护机制，我能冷静的写下这些话，从爸爸和我说爷爷还有希望到医生宣判没救了准备后事吧这中间只有三天，太短了没有时间给我反应，其实我应该没有什么遗憾的，从去医院挂号再到后期的检查住院都是我陪着你一起的，也每天来给你送早饭向你报道，最后那段日子我都有好好的陪着你。 可是情感是没办法强制停止的，再回过神的时候我已经站在老家的大厅等待...,或许由我来投稿她并不那么合适，因为我们只是比萍水相逢好一点的网友，但是我还是想说一下她。认识她是因为我们都在某个大热女性向二次元游戏IP吃同一对CP，但是那个时候我已经退了坑，虽然对CP还有留念但是并没有交友的意愿，阴差阳错认识了她，加了🐧。我们聊天的机会很少，聊天也基本上都是CP相关，她有她的圈子，我也有我的，但是我经常看她的QQ空间，她和普通小女孩一样，...
孤独/无助,231,0.0269,1763,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,【】很小很小的时候，表弟家养了一只田园犬，表弟没什么朋友，在乡下地方也没什么电子产品可以玩，于是狗狗是他很重要的朋友。有年元宵节，镇上的小朋友一起出去猜灯谜逛小巷，走着走着表弟就和大家走散了。他有点难过，好想回去找狗狗玩。他想到早上吃的花生汤圆好好吃，于是他拿了本来打算买灯笼的钱买了一碗汤圆一个人回家。回到家后他把汤圆放在狗狗面前，狗狗几下就吃光光的，表弟好...,【】22年年末，我好像一直都处于有些混沌的状态，冬天太冷，上课的时候我会把下巴缩进校服，我又开始变得不喜欢出教室门，因为外面的天气一直是阴郁潮湿的，但我们的教室格外的温暖。初三那一整年我几乎都是一个人度过的，一个人吃饭、一个人走路、一个人去洗手间。某天晚自习老师去开会，我偷偷溜去了操场，风拂过我，雨滴也打在我的发梢，突然，我在教学楼的尽头看见了她，我曾经的朋...,【透光】对于死亡无法释怀。去年中考的时候爷爷重病，每周我都会回去看爷爷，但是偏偏在最后一周，我没去。竟然成了永别。体考那天半夜，爸爸被一个电话叫回了老家。我一个人躺在床上，翻来覆去睡不着。4点的时候突然醒了。我不知道为什么，下意识觉得:爷爷去世了。憋着一口气考完试，打电话给妈妈。妈妈瞒着我，直到晚上哥哥回来。他们才肯告诉我。……突然想起来爷爷在别人硬塞给了我...,你好不知道这个能不能投。但是真的不知道投在哪里。猫猫去年暑假的时候突然去世了，哥哥要在外地工作，缟纻上的又是寄宿学校，现在家里只有豹豹一个人。今年上半年的时候缟纻突然发现豹豹在vx上和别的阿姨聊天，但是没在意。暑假回家才发现这件事情的严重性真的超乎了想象。豹豹为了去火车站接这个阿姨让缟纻在外县的雨里等到十点多，甚至会和这个阿姨聊天聊到凌晨两点。豹豹猫猫是农村...,之前给外公上完坟，下山的时候，看到了山，我那时想到这样苍翠的绿色都是由一棵又一棵孱弱的树长成的，感觉十分的不可思议，那是他长眠在这里的地方。我去看望他的时候，穿过了竹林，下雨天之后的水泊，杂乱的草丛，和一大片又一大片的艾草。无数排布在那里的，象征着他们度过了一生的墓碑驻扎在这里，度过生命之外最短暂又宁静的夏天。在飘下细雨的时刻，远处延绵的群山失去了骨架，变成...
愧疚/自责,210,0.0245,1413,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,对不起，真的对不起，说什么都太无力了，对不起这条稿可能和其他的不太一样，没有爱或者恨只有无法终止的抱歉。八天前我的高中同学跳楼紫砂了，她是一个被我所亲近的小团体、我的朋友和我80了整整两年的听障女生，称她为z吧。21年初分班，我拼命地融入集体和其他人打好关系很快就有了接纳我的小团体和同学，我本以为我的高中生活不会再像初中一样痛苦可以和朋友一起很幸福地度过。大...,我因为家庭问题导致成绩下滑，又无意间冒犯了老师，所以被安排在最后一排。我看不到黑板，又总是走神，成绩变得更差，郁郁寡欢。他是转学来到我们班的，他长得高大，来的时候刚好只剩最后一排有位置，所以就这样坐到了我的旁边。他大大咧咧又自来熟，很随意的闯进我的世界里，和我聊天不在意我是否回应，发现我的沮丧总是逗我开心，每天想方设法让我多说一点话，抄下我看不到的板书给我，...,【】去年年末，我的奶奶感染了新冠，血氧一度掉到40+，抢救了不止一次，医生看了都摇头。奶奶的身体很好，大家都认为她能活到90岁，所以完全没有心理准备。我的姑姑叔叔和爸爸慌了神，衣不解带地在医院守着奶奶。全家人都很焦虑，惴惴不安，仿佛头顶悬着一把剑，随时会砍下来。与此同时，我84岁的爷爷在家开始时不时抱怨后背痛。虽然他的三个孩子平时都很孝顺，但那段时间每个人都...,太突然了……就好像家里的灯突然灭了。她平时很喜欢一闪一闪，在我旁边絮絮叨叨，说我要注意，要小心，多孝敬爷爷，她太爱操心了，就算自己生病也惦记着自己年迈的父亲。我记得她的絮絮叨叨，一给我打电话，最长一小时，最短十分钟，她在我学生时代让我好好学习，告诫我不要早恋，告诫我要多看书，看书才能使人进步，告诫我别学父亲那样，劝解我，开导我。她在我刚工作的时候为我提心吊胆...,【替友投】她们今年十八岁今年是我和我的发小认识的第十一年我们俩住的地方只隔了一条街，从小学开始我们就是好闺蜜，小时候的我们总是打扮的很时尚很漂亮，也有人说我们长的像。我们喜欢同一个男团，喜欢同一部电影，喜欢同一种食物。到了上初中的时候，我跟随父母去了其他省份的国际学校，她留在本地上学，也许是长久的分离让我对她的情感变质，也许是对爱的觉醒让我清楚对她的感情。总...
恐惧/焦虑,161,0.0187,1383,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,【】我的噩梦从19年开始就没有停过。我和爷爷奶奶非常亲密，爸妈为了工作便把我交给他们照顾，我很爱他们。我害怕的并不是亲人离去。老家的习俗很多，丧事的流程也很多，逝者遗体要放在家里家人守夜两天，第二天一早抬到寺庙，再下土。我姑姑很多，她们都是诚朴，勤劳，靠自己的双手走向大城市生活女人。她们从小到大生活在爷爷奶奶身边，她们无法接受奶奶的离世，仪式开始的时候哭的撕...,我控制不住地想象你死了的那一刻那时的我一定充满悔恨但又可耻地觉得解脱我们没有血缘关系 但你是对我最好的老人小时候妈妈把我送到你家我想可能是因为我又是一个女孩又可能是要躲避计划生育检查那时所有人都以为这世界上又多了一个“要来的孩子”直到一年以后妈妈后悔了又把我接了回去但从此我比别人多一个“家”幼儿园小学初中 自行车电车三轮车你总要来接我 每个假期我总要在你家住...,前几天和室友们说起医疗检查和意外之类的事，我就想起了你。我说了你的事。隔壁床的室友问我，那你翻看聊天记录不会害怕吗？一个曾经活生生的人就这么去世了，可我们的聊天记录里，你又是那么生动，我看着那些文字甚至可以想象出你的语气、你的表情。我怔了一下，说，当然不会害怕，只会觉得伤心。怎么会害怕呢？我们曾经那么要好，我比你大了几岁，我读大二时你读高三，可从小到大，我都...,【天国】我的记忆力一直在衰退，特别是吃药后，黄黄绿绿白白的药，一颗又一颗，从喉咙滑进我的胃里。妈妈说，我吃药才能快快好起来。可是，我不想吃药，药物带走了我的记忆，我好害怕，它也会带走我记忆里的你。我好害怕我会忘记每天接送我上学的你，我好害怕我会忘记笑着叫我傻妹的你，我好害怕我会忘记跟妈妈一起笑着发现有同学生日跟我同一天的你，我好害怕我会忘记喜欢坐在躺椅上听歌...,【存在的你】小时候因为舅舅家的哥哥说要一起玩游戏带我进了他的房间脱下了我的裤子事后告诉我不要告诉妈妈笑着说这是我们之间的秘密 之后看见男的就害怕 包括从来没有对我笑过的爸爸 在外婆家因为人太多睡在爸爸妈妈中间的时候因为旁边躺了男人 我太害怕了耳朵里一直耳鸣听不见声音疯狂呕吐的时候去的外婆家附近的小诊所 一个人打吊瓶的时候分给我一只耳机的你 已经记不清是什么歌...
震惊/难以接受,61,0.0071,1359,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,【蛋糕】今年一二月时，有次出门买蛋糕，突然发现本来只有几十块的蛋糕卡里多了一百多，当时有些奇怪，但因为排队的人很多没有细问。直到暑假的某一天下午，我从补习班蹬着车子回家，大约六点多吧，那天的夕阳很好，路过街口的蛋糕店时，吹来浓郁的香，惹得我突然很想吃蛋糕。于是我刹车停下，来到店门口，挑选几个巧克力面包，结账时突然想起之前的事，于是就问店员要了充值记录。我边翻...,前一个月刷到这个bot，当时只是觉得大家文笔很好，故事很感人就关注了。刚刚突然得知家里的四爷因病去世了。四爷是我爷的弟弟，我爷爷在我父亲六岁的时候就因疾病离开了，所以我人生的开头是感受不到什么爷女情长的。在我小时候（5岁吧），四爷那会儿还很健康，经常来我家做客后拉着我和弟弟（那时候2岁）去公园玩。因为我是很好动的孩子，所以经常找可以攀爬的设施爬上爬下，给四爷...,不知道大家还有没有懂“游戏里g婚”的，上了高中后不能经常碰电脑了于是碰巧又找到一个因为工作了不能经常玩的陌生人一起挂着情侣关系，但不谈恋爱加着微信当偶尔聊天的网友。我们对彼此的信息了解颇少但也足够，我经常在晚自习前的宿舍里才能玩一会手机，会和他抱怨一下周围同学关系的变化，他只轻轻的劝我不要太在意他人的声音，保持自己就好了。我们都是不同阶段里很普通的人，他会发...,你在去年的二月突然休了学。我们当时都以为你只是小病，对你的病开着玩笑，猜测着你回来的时间。现在想想当时的我真该死啊我给你画了恭喜病情康复的贺图，画了你家那只你最喜欢的黑猫，让全班在上面给你留了恭喜的话语。你仍然没回来上学，我听说你在ICU里面化疗，每天的日子很痛苦，但你还是跟我们说，没事，这是小病，你很快就好了。我看你朋友圈很乐观，一直在期盼着回来和同学们团...,无事多来梦我，常想我。 第一次梦见你，是在你走了的第二天，我扑到你身上流泪，你不让我牵你的手，跟我说手脏，指甲里有泥。梦醒了问八仙主事，讲不能再开冰棺擦手，有说法，对你来生不好。我就坐在一边给你缝寿衣枕头压脚包，挑的最软乎最干净的布，我知道你爱干净。 第二次梦见你是快冬至，你说脚冷，穿着的毛线鞋子看起来破破烂烂，问我能不能把我不穿了的粉色棉鞋给你。我说好，我...
麻木/压抑,22,0.0026,877,基于情绪关键词和语义线索的规则聚类；一条文本可有多个情绪标签，频率统计使用主导情绪。,【天国】你是一只大白狗。第一次见你的时候，爸爸说你叫小白，可我一次也没叫过，小新的狗叫小白，同村阿姨家的狗现在也叫小白，世界上有好多好多好多个小白啊，所以我还是大白比较好记。我不是讨人喜欢的孩子，也不是讨猫和狗喜欢的孩子，小时候被家里的猫吓到，也被狗追过，所以我也不喜欢什么猫和狗。你是我见过唯一一只，靠近了也那么温和的狗狗。爸爸是养你看店的，可是你怎么第一次...,你好像没有时间悲伤 告诉我的那一刻我转头看向你 你像个手足无措的孩子 我说不出话把你抱住 进到病房我看着你的眼神变得黯淡 你摸着他冰凉的脸 替他盖上被子 哽咽了很久只能吐出一句“怎么这么突然呢” 我听出你的悲伤 紫色的消毒灯照得眼睛生疼 我跟着你走出去 你站在门口手颤抖着抽了一根又一根烟 吐烟的时候好像在叹气 我开始后悔为什么那次没有帮你和他拍照 为什么那次...,有一些遗憾是永远无法弥补的。只是那段时间的我混乱又麻木，被情绪与精神困在自己小小的房间中无法动弹。那时怕见所有人包括至亲，有人来就会躲进被子里。所以我们甚至没能在最后的最后留下美好的回忆……比如那没去的最后的生日会。我们都不善言辞…从小到大也没有聊太多的天，就是问问生活问问最近怎么样。还在一起住的时候，更多的就是沉默的相伴。但您的爱其实都写在眼里，写在行动中...,【天国】死人安然躺着，尽管周围人讨厌他，思念他，对他的死狂喜或者悲伤，他沉默着。媒体为了流量编造吸引眼球扭曲事实或者无人关心在乎他死因为建房而被从土里翻出，他也沉默着。他沉默着，我想把他揪起来想听听他的看法，他安静地闭着眼，他对任何评价给予沉默。他是不会理会的，即使为他华丽置办葬礼或者草草下葬，他也不会感恩你或者诅咒你。我才意识到，他已经不是这个世界的人了。...,可能我的问题很小，也许别人看来也有点幼稚，但是真的让我活着感到喘不过气。家庭太看重学习了，即使上了大学每次打电话问我也只是问我学习的事，从大一开始问我四级，考过了问我六级，大二问我研究生。一旦问完学习的事情电话就会沉默。我本来是想考研究生的。猫猫打电话一问我想死的心都有了活了大半辈子什么也没干，我小学想和朋友玩，我外婆会直接把我朋友关门外说我在学习。搞得我朋...
